var_desc,var,var_desc_ewas,Matched Unit,Unit Type,ID,Test Name,Specimen,Cell Type,Low CU,High CU,Conventional Units,Low SI,High SI,SI Units,Effect,Test Method Type,Gender,Age_group,Testing time,Tests Anatomical Position,Blood level,Infection Type,Other conditions,Source,Comments
Want to be healthier,WHQ510B,body measures, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
Want to be better at sports,WHQ510C,body measures, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
Get teased about my weight,WHQ510D,body measures, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
Think my clothes will fit better,WHQ510E,body measures, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
Think boys will like me better,WHQ510F,body measures, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
Think girls will like me better,WHQ510G,body measures, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
Friends are trying to lose weight,WHQ510H,body measures, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
Someone in family trying to lose weight,WHQ510I,body measures, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
Mother/father wants me to lose weight,WHQ510J,body measures, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
Teacher/coach wants me to lose weight,WHQ510K,body measures, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
Health professional wants me lose weight,WHQ510L,body measures, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
Want to feel good/better about self,WHQ510N,body measures, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
Want to be skinny/because I'm overweight,WHQ510P,body measures, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
Other reason,WHQ510U,body measures, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
Ate less to lose weight,WHD080A,body measures, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
Switched to foods with lower calories,WHD080B,body measures, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
Ate less fat to lose weight,WHD080C,body measures, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
Exercised to lose weight,WHD080D,body measures, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
Skipped meals,WHD080E,body measures, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
Ate diet foods or products,WHD080F,body measures, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
Used a liquid diet formula,WHD080G,body measures, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
Joined a weight loss program,WHD080H,body measures, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
Took prescription diet pills,WHD080I,body measures, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
Took non-RX suppl. to lose weight,WHD080J,body measures, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
Took laxatives or vomited,WHD080K,body measures, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
Other,WHD080L,body measures, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
Drank a lot of water,WHD080M,body measures, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
Followed a special diet,WHD080N,body measures, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
Ate fewer carbohydrates,WHD080O,body measures, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
Started to smoke or began to smoke again,WHD080P,body measures, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
"Ate more fruits, vegetables, salads",WHD080Q,body measures, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
Changed eating habits,WHD080R,body measures, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
"Ate less sugar, candy, sweets",WHD080S,body measures, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
Ate less junk food or fast food,WHD080T,body measures, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
Ate less food,WHD100A,body measures, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
Switched to foods with lower calories,WHD100B,body measures, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
Ate less fat,WHD100C,body measures, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
Exercised,WHD100D,body measures, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
Skipped meals,WHD100E,body measures, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
Ate diet foods or products,WHD100F,body measures, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
Used liquid diet formula,WHD100G,body measures, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
Joined program to not gain weight,WHD100H,body measures, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
Took prescription diet pills,WHD100I,body measures, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
Took non-prescription diet pills,WHD100J,body measures, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
Took laxatives or vomited,WHD100K,body measures, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
Other,WHD100L,body measures, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
Drank a lot of water,WHD100M,body measures, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
Followed a special diet,WHD100N,body measures, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
Ate fewer carbohydrates,WHD100O,body measures, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
Started to smoke or began to smoke again,WHD100P,body measures, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
"Ate more fruits, vegetables, salads",WHD100Q,body measures, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
Changed eating habits,WHD100R,body measures, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
"Ate less sugar, candy, sweets",WHD100S,body measures, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
Ate less junk food or fast food,WHD100T,body measures, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
Personal trainer,WHQ280A,body measures, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
Dietitian,WHQ280B,body measures, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
Nutritionist,WHQ280C,body measures, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
Doctor,WHQ280D,body measures, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
Other health professional,WHQ280E,body measures, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
Spanish usually spoken at home,ACD010B,acculturation, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
Other language(s) usually spoken at home,ACD010C,acculturation, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
Father's country of birth,ACD070,acculturation, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
Mother's country of birth,ACD080,acculturation, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
Language(s) read and spoken,ACQ020,acculturation, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
Language(s) used as child,ACQ030,acculturation, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
Language(s) usually used to think,ACQ050,acculturation, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
Language(s) usually used with friends,ACQ060,acculturation, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
Fathers country of birth,ACD070,acculturation, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
Mothers country of birth,ACD080,acculturation, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
Age when first had hay fever,AGD020,disease, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
Age when first had allergies,AGD050,disease, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
Age rash first occurred,AGD170,disease, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
Doctor told have hay fever,AGQ010,disease, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
Episode of hay fever in past 12 months,AGQ030,disease, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
Doctor told have allergies,AGQ040,disease, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
Allergy symptoms in past 12 months,AGQ060,disease, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
Removed animal from home due to allergy,AGQ070,disease, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
Kind of pet removed - dog,AGQ080A,disease, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
Kind of pet removed - cat,AGQ080B,disease, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
Kind of pet removed - small furry animal,AGQ080C,disease, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
Avoided pets because of allergies,AGQ090,disease, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
Problem with sneezing in past 12 months,AGQ100,disease, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
Sneezing occurred - in spring,AGQ110A,disease, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
Sneezing occurred - in summer,AGQ110B,disease, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
Sneezing occurred - in fall,AGQ110C,disease, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
Sneezing occurred - in winter,AGQ110D,disease, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
Doctor told have sinus infection,AGQ120,disease, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
Ever had itchy rash at least 6 months,AGQ130,disease, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
Itchy rash at any time in past 12 months,AGQ140,disease, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
Rash cleared up completely,AGQ150,disease, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
Has rash affected places...,AGQ160,disease, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
Doctor told have eczema,AGQ180,disease, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
Had at least 12 alcohol drinks/1 yr?,ALQ100,alcohol use, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
# days have 5 or more drinks/past 12 mos,ALQ140Q,alcohol use, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
Had at least 12 alcohol drinks/1 yr?,ALD100,alcohol use, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
# days drink alcohol per wk,ALQ120U,alcohol use, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
Avg ,ALQ130,alcohol use, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
# days per week,ALQ140U,alcohol use, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
Dizzy/balance/falling problems/past yr,BAQ010,physical functioning, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
Dizziness problems in past year,BAQ020A,physical functioning, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
Balance problems in past year,BAQ020B,physical functioning, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
Falling problems in past year,BAQ020C,physical functioning, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
How long did dizziness last,BAQ030A,physical functioning, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
How long did balance problem last,BAQ030B,physical functioning, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
Get dizzy when turn over in bed,BAQ040,physical functioning, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
Off balance due to cold or flu,BAQ060A,physical functioning, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
Off balance due to injury or accident,BAQ060B,physical functioning, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
Off balance due to drugs or medicine,BAQ060C,physical functioning, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
Off balance due to aging,BAQ060D,physical functioning, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
Off balance due to surgery,BAQ060E,physical functioning, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
Off balance due to hearing problem,BAQ060F,physical functioning, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
Off balance due to vision problem,BAQ060G,physical functioning, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
Nothing related to balance problem,BAQ060H,physical functioning, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
Received treatment for dizziness/balance,BAQ070,physical functioning, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
How long ago where you treated,BAQ075,physical functioning, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
Did treatment involve medication,BAQ080A,physical functioning, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
Did treatment involve surgery to ear,BAQ080B,physical functioning, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
Did treatment involve other type surgery,BAQ080C,physical functioning, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
Did treatment involve exercises,BAQ080D,physical functioning, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
Treatment affect on dizziness/balance,BAQ090,physical functioning, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
Blood relative dizziness/balance problem,BAQ100,physical functioning, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
How long ago were you treated,BAQ075,physical functioning, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
Comment code for an exam,BAAEXCMT,physical functioning, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
Status of a MEC exam,BAAEXSTS,physical functioning, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
Can you stand on your own?,BAQ110,physical functioning, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
Do you have a leg brace?,BAQ120,physical functioning, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
Feeling dizzy or lightheaded now?,BAQ130,physical functioning, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
Cond 1 Trial 1 Failure Time,BAXFTC11,physical functioning, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
Cond 1 Trial 2 Failure Time,BAXFTC12,physical functioning, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
Cond 2 Trial 1 Failure Time,BAXFTC21,physical functioning, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
Cond 2 Trial 2 Failure Time,BAXFTC22,physical functioning, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
Cond 3 Trial 1 Failure Time,BAXFTC31,physical functioning, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
Cond 3 Trial 2 Failure Time,BAXFTC32,physical functioning, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
Cond 4 Trial 1 Failure Time,BAXFTC41,physical functioning, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
Cond 4 Trial 2 Failure Time,BAXFTC42,physical functioning, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
Cond 1 Trial 1 Feet together eyes open,BAXPFC11,physical functioning, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
Cond 1 Trial 2 Feet together eyes open,BAXPFC12,physical functioning, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
Cond 2 Trial 1 Feet together eyes closed,BAXPFC21,physical functioning, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
Cond 2 Trial 2 Feet together eyes closed,BAXPFC22,physical functioning, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
Cond 3 Trial 1 Foam Pad Eyes Open,BAXPFC31,physical functioning, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
Cond 3 Trial 2 Foam Pad Eyes Open,BAXPFC32,physical functioning, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
Cond 4 Trial 1 Foam Pad Eyes Closed,BAXPFC41,physical functioning, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
Cond 4 Trial 2 Foam Pad Eyes Closed,BAXPFC42,physical functioning, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
Cond 1 Trial 1 Failure Time(seconds),BAXFTC11,physical functioning, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
Cond 1 Trial 2 Failure Time(seconds),BAXFTC12,physical functioning, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
Cond 2 Trial 1 Failure Time(seconds),BAXFTC21,physical functioning, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
Cond 2 Trial 2 Failure Time(seconds),BAXFTC22,physical functioning, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
Cond 3 Trial 1 Failure Time(seconds),BAXFTC31,physical functioning, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
Cond 3 Trial 2 Failure Time(seconds),BAXFTC32,physical functioning, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
Cond 4 Trial 1 Failure Time(seconds),BAXFTC41,physical functioning, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
Cond 4 Trial 2 Failure Time(seconds),BAXFTC42,physical functioning, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
BIA Time in Seconds,BIAEXLEN,body measures, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
BIA Status,BIAEXSTS,body measures, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
"Removed jewelry, other objects?",BIAOBJ,body measures, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
Quality of Fit of Cole-Cole Model,BIDFIT,body measures, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
Reactance (Ohms) @ 5 KHz,BIXC005K,body measures, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
Reactance (Ohms) @ 6 KHz,BIXC006K,body measures, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
Reactance (Ohms) @ 7 KHz,BIXC007K,body measures, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
Reactance (Ohms) @ 8 KHz,BIXC008K,body measures, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
Reactance (Ohms) @ 9 KHz,BIXC009K,body measures, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
Reactance (Ohms) @ 10 KHz,BIXC010K,body measures, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
Reactance (Ohms) @ 11 KHz,BIXC011K,body measures, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
Reactance (Ohms) @ 12 KHz,BIXC012K,body measures, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
Reactance (Ohms) @ 13 KHz,BIXC013K,body measures, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
Reactance (Ohms) @ 14 KHz,BIXC014K,body measures, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
Reactance (Ohms) @ 15 KHz,BIXC015K,body measures, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
Reactance (Ohms) @ 16 KHz,BIXC016K,body measures, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
Reactance (Ohms) @ 18 KHz,BIXC018K,body measures, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
Reactance (Ohms) @ 20 KHz,BIXC020K,body measures, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
Reactance (Ohms) @ 23 KHz,BIXC023K,body measures, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
Reactance (Ohms) @ 25 KHz,BIXC025K,body measures, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
Reactance (Ohms) @ 28 KHz,BIXC028K,body measures, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
Reactance (Ohms) @ 31 KHz,BIXC031K,body measures, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
Reactance (Ohms) @ 35 KHz,BIXC035K,body measures, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
Reactance (Ohms) @ 39 KHz,BIXC039K,body measures, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
Reactance (Ohms) @ 43 KHz,BIXC043K,body measures, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
Reactance (Ohms) @ 50 KHz,BIXC050K,body measures, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
Reactance (Ohms) @ 54 KHz,BIXC054K,body measures, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
Reactance (Ohms) @ 60 KHz,BIXC060K,body measures, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
Reactance (Ohms) @ 67 KHz,BIXC067K,body measures, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
Reactance (Ohms) @ 75 KHz,BIXC075K,body measures, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
Reactance (Ohms) @ 83 KHz,BIXC083K,body measures, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
Reactance (Ohms) @ 93 KHz,BIXC093K,body measures, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
Reactance (Ohms) @ 100 KHz,BIXC100K,body measures, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
Reactance (Ohms) @ 115 KHz,BIXC115K,body measures, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
Reactance (Ohms) @ 128 KHz,BIXC128K,body measures, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
Reactance (Ohms) @ 143 KHz,BIXC143K,body measures, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
Reactance (Ohms) @ 159 KHz,BIXC159K,body measures, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
Reactance (Ohms) @ 177 KHz,BIXC177K,body measures, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
Reactance (Ohms) @ 1 MHz,BIXC1M,body measures, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
Reactance (Ohms) @ 200 KHz,BIXC200K,body measures, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
Reactance (Ohms) @ 220 KHz,BIXC220K,body measures, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
